,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
0,신고 어떻게 해?,DialogAdapter,IT-0020,신고 안내,0.92
1,상담시작,DialogAdapter,IT-0017,챗봇상담시작,1.0
2,상담하자,DialogAdapter,IT-0017,챗봇상담시작,1.0
3,반가워!!,DialogAdapter,IT-0018,환영인사,1.0
4,잘가.,DialogAdapter,IT-0019,종료인사,0.9999999999999998
5,신고 하는 방법,DialogAdapter,IT-0020,신고 안내,0.91
6,신고하는법,DialogAdapter,IT-0020,신고 안내,1.0
7,주차위반 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0000000000000002
8,주차위반,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
9,안전신문고 소개해줘,DOUB API,IT-0023,안전신문고 소개,1.0
10,신문고 소개해줘,DailyDialogAdapter,IT1603702611549001,소개팅,0.8660254037844388
11,신문고 소개,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
12,신고 처리 사례,DialogAdapter,IT-0025,주요처리사례 보기,0.8660254037844388
13,신고 사례,DialogAdapter,IT-0025,주요처리사례 보기,0.9999999999999998
14,코로나 설명,DialogAdapter,IT-0029,코로나19,0.7071067811865475
15,코로나 설명해줘,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.7071067811865475
16,코로나 예방 수칙 안내,DialogAdapter,IT-0031,코로나 예방 수칙 안내,0.8660254037844388
17,안전수칙,DialogAdapter,IT-0034,국민안전행동요령,1.0
18,안전수칙 알려줘,DialogAdapter,IT-0034,국민안전행동요령,0.9999999999999998
19,안전수칙 요령,DialogAdapter,IT-0034,국민안전행동요령,0.816496580927726
20,자연재난시 대처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령,1.0
21,자연재난 대처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령,0.93
22,호우ㆍ태풍 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
