,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
0,불법주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.9999999999999998
1,번호판 가림,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.816496580927726
2,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
3,안전신고내용수정,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.8660254037844388
4,간이스프링쿨러 송수구 앞에 주차가능?,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
5,waefawef,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
6,번호판없는 차,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.9999999999999998
7,번호판,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.7071067811865475
8,1분간격으로 2장 찍었는데 입력이 안되요,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,0.75
9,사진을 이곳에 올리면 안되나요??,DOUB API,IT-0192,신고 촬영 방법 안내,1.0
10,앱에 사진 등록이 안되요ㅠㅠ,DOUB API,IT-0192,신고 촬영 방법 안내,1.0
11,장애인주차구역 신고하고 싶어요,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,1.0
12,안전신고,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.9999999999999998
13,전화신고,DialogAdapter,IT-0158,유선전화 신고 문의,0.816496580927726
14,버스정류장 주차,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내,1.0000000000000002
15,버스정류장주정차,DialogAdapter,IT1607320500673001,버스정류소 불법주정차 신고 안내,1.0000000000000002
16,마스크 과태료,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.7071067811865475
17,주자장이 아닌 일반 보도블럭위에 5분이상 주차한 차량은 신고가안되나요??,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
18,산업안전관리비 계상,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",1.0
19,1AA-2110-0517835,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
20,왜 제가 신고한건은 과태료 부과 안되는거죠,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
21,신고내용 자료수정,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.8660254037844388
22,안전신문고 신고 내용자료 보완 방법,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
23,불법간판,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,1.0
24,인도에 간판,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,1.0
25,갤러리 불러오기가 안돼요,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,1.0
26,장애인구역 진로방해주차 사진 개인카메라로찍었는데 신고할수있나요??,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.6299407883487119
27,코로나 위반 처벌은,DOUB API,IT-0029,코로나19,1.0
28,처벌은,DialogAdapter,IT-0152,신고 내역 조회,1.0
29,코로나 관련신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.816496580927726
30,신고어떻게해?,DialogAdapter,IT-0020,신고 안내,0.92
31,강원 원주시 장미공원길 27  진pc방 에서 흡연실이 아닌 곳에서 흡연자 들이 너무 많아요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
32,교차로모퉁이,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.816496580927726
33,불법주정차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
34,안전신고후 보안은?,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.7071067811865475
35,맞어요,DialogAdapter,IT1632897711145001,네,0.7071067811865475
36,요일가르쳐주세요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
37,내일은 무슨요일,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
38,도로시설물파손,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,1.0
39,감사합니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
40,아뇨,DialogAdapter,IT1632897711145001,네,1.0
41,백신접종 3차까지 맞으면 코로나가 많이 줄어들까요,DOUB API,IT-0029,코로나19,1.0
42,넹,DialogAdapter,IT1632897711145001,네,1.0
43,넹,DialogAdapter,IT1632897711145001,네,1.0
44,이번주 기상전망 알려주세요,DialogAdapter,IT-0166,이번 달 기상전망,0.75
45,네 적절 하네요~,DialogAdapter,IT1632897711145001,네,0.91
46,신고하려는데 사진을 찍어놓은상태인데 불러오기를 어떻게하나요?,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.98
