,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title
0,신고 어떻게 해?,DialogAdapter,IT-0020,신고 안내
1,상담시작,DialogAdapter,IT-0017,챗봇상담시작
2,상담하자,DialogAdapter,IT-0017,챗봇상담시작
3,반가워!!,DialogAdapter,IT-0018,환영인사
4,잘가.,DialogAdapter,IT-0019,종료인사
5,신고 하는 방법,DialogAdapter,IT1620715040970001,비긴급 신고
6,신고하는법,DialogAdapter,IT-0020,신고 안내
7,주차위반 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
8,주차위반,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내
9,안전신문고 소개해줘,DialogAdapter,IT1624933997476001,앱 실행
10,신문고 소개해줘,DailyDialogAdapter,IT1603702611549001,소개팅
11,신문고 소개,FallbackAdapter,IT-FALLBACK,폴백 메시지
12,신고 처리 사례,DialogAdapter,IT-0025,주요처리사례 보기
13,신고 사례,DialogAdapter,IT-0025,주요처리사례 보기
14,코로나 설명,DialogAdapter,IT-0029,코로나19
15,코로나 설명해줘,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내
16,코로나 예방 수칙 안내,DialogAdapter,IT-0031,코로나 예방 수칙 안내
17,안전수칙,DialogAdapter,IT-0034,국민안전행동요령
18,안전수칙 알려줘,DialogAdapter,IT-0034,국민안전행동요령
19,안전수칙 요령,DialogAdapter,IT-0034,국민안전행동요령
20,자연재난시 대처법,DialogAdapter,IT-0035,자연재난 국민안전행동요령
21,자연재난 대처법,DialogAdapter,IT-0138,재난대비 국민안전행동요령
22,호우ㆍ태풍 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령
23,호우ㆍ태풍시 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령
24,번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령
25,천둥,DialogAdapter,IT-0037,낙뢰 국민안전행동요령
26,천둥번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령
27,폭염,DialogAdapter,IT-0038,폭염 국민안전행동요령
28,무더위,DialogAdapter,IT-0038,폭염 국민안전행동요령
29,가뭄,DialogAdapter,IT-0039,가뭄 국민안전행동요령
30,가뭄에 대해,DialogAdapter,IT-0039,가뭄 국민안전행동요령
31,가뭄 주의사항,DialogAdapter,IT-0039,가뭄 국민안전행동요령
32,대설,DialogAdapter,IT-0040,대설 국민안전행동요령
33,폭설,DialogAdapter,IT-0040,대설 국민안전행동요령
34,한파,DialogAdapter,IT-0041,한파 국민안전행동요령
35,매서운 추위,DialogAdapter,IT-0041,한파 국민안전행동요령
36,동상,DialogAdapter,IT-0041,한파 국민안전행동요령
37,지진,DialogAdapter,IT-0042,지진 국민안전행동요령
38,지진 대처법,DialogAdapter,IT-0042,지진 국민안전행동요령
39,장소별 지진 대처법,DialogAdapter,IT-0043,장소별 지진 국민안전행동요령
